Items
Cognitive Abilities
Emotional Regulation & Well-being
Self-Concept & Identity
Social Skills & Relationships
Interpersonal Values & Character
Executive Function & Behavior Management
Academic Performance & Learning
Communication Skills
Motivation & Goal Orientation
Adaptability & Resilience
Physical Health & Self-Care
Behavioral Patterns & Habits
Safety & Risk Behaviors
Creative Expression & Play
Leadership & Assertiveness
